,name,country,lng,lat,humidity,wind,clouds,temp_max
0,Clyde River,CA,-68.59,70.47,100,18.34,90,33.8
1,Saint-Philippe,RE,55.77,-21.36,64,8.05,36,69.8
2,East London,ZA,27.91,-33.02,76,11.81,21,64.49
3,Puerto Ayora,EC,-90.35,-0.74,87,4.0,54,71.01
4,Bredasdorp,ZA,20.04,-34.53,93,3.36,100,50.0
5,Hilo,US,-155.09,19.73,58,12.75,1,86.0
6,Avarua,CK,-159.78,-21.21,53,5.82,100,75.2
7,Dekar,BW,21.93,-21.53,32,9.69,0,66.78
8,Provideniya,RU,-173.3,64.38,81,22.37,90,44.6
9,Cabo San Lucas,MX,-109.91,22.89,70,16.11,5,87.8
10,Eyl,SO,49.82,7.98,67,12.59,19,79.02
11,Longyan,CN,117.02,25.11,55,3.0,66,77.0
12,Auki,SB,160.7,-8.77,60,2.04,4,89.19
13,Kapaa,US,-159.32,22.08,78,12.75,40,84.99
14,Krasnosel'kup,RU,82.47,65.7,97,12.06,100,27.66
15,Nikolskoye,RU,30.79,59.7,86,8.95,75,37.99
16,Shcherbynivka,UA,37.79,48.39,64,3.18,100,57.45
17,Nurota,UZ,65.69,40.56,56,4.7,0,44.6
18,Christchurch,NZ,172.63,-43.53,47,24.16,0,57.2
19,Chui,UY,-53.46,-33.7,91,7.43,100,58.06
20,Jamestown,US,-79.24,42.1,100,9.17,90,46.99
21,Bokoro,TD,17.06,12.38,58,7.23,86,82.22
22,Ust'-Ilimsk,RU,102.66,58.0,94,10.6,42,23.0
23,Hobart,AU,147.33,-42.88,53,5.82,75,54.0
24,Rikitea,PF,-134.97,-23.12,75,15.57,100,74.37
25,Hithadhoo,MV,73.08,-0.6,73,19.28,100,82.45
26,Adrar,MR,-10.07,20.5,13,9.78,22,88.27
27,Iqaluit,CA,-68.51,63.75,93,3.36,90,35.6
28,Vaini,TO,-175.2,-21.2,78,8.05,75,78.8
29,Guerrero Negro,MX,-114.06,27.98,66,15.73,8,79.65
30,Mizdah,LY,12.98,31.45,26,3.8,9,66.76
31,Tuktoyaktuk,CA,-133.04,69.45,85,11.41,90,19.4
32,Broome,US,-75.83,42.25,76,12.75,90,57.99
33,Tapejara,BR,-52.01,-28.07,75,9.42,0,60.42
34,George Town,MY,100.34,5.41,88,4.25,40,77.0
35,Sirte,LY,16.59,31.21,29,14.67,0,82.2
36,Ponta do Sol,PT,-17.1,32.67,72,8.05,75,68.0
37,Galveston,US,-94.97,29.37,69,9.17,1,80.6
38,Alugan,PH,125.48,12.22,81,1.48,100,81.7
39,Bengkulu,ID,102.27,-3.8,74,3.09,45,80.91
40,Lebu,CL,-73.65,-37.62,79,12.37,0,50.85
41,Ribeira Grande,PT,-28.7,38.52,83,14.27,96,69.3
42,Yellowknife,CA,-114.35,62.46,63,21.92,75,26.6
43,Pacific Grove,US,-121.92,36.62,24,3.36,1,84.2
44,Carnarvon,AU,113.63,-24.87,73,19.46,0,69.8
45,Lüderitz,NA,15.16,-26.65,41,13.15,0,67.35
46,Porto Santo,PT,-16.34,33.07,72,3.36,20,66.2
47,Ostrovnoy,RU,39.51,68.05,80,13.58,100,36.86
48,Bethel,US,-73.41,41.37,77,6.93,1,61.0
49,Puerto Quijarro,BO,-57.77,-17.78,91,5.03,100,71.31
50,Sinnamary,GF,-52.95,5.38,80,12.5,73,80.49
51,Visnes,NO,5.22,59.36,75,6.93,0,46.4
52,Hongjiang,CN,110.0,27.11,91,3.53,100,57.88
53,Paris,FR,2.35,48.85,76,9.17,90,50.0
54,Del Rio,US,-100.9,29.36,26,8.05,1,84.2
55,Airai,TL,125.41,-8.93,40,2.1,98,77.77
56,Progreso,MX,-89.67,21.28,69,10.25,5,80.6
57,Barrow,US,-156.79,71.29,68,5.82,90,28.4
58,Leningradskiy,RU,178.42,69.38,90,17.78,100,35.47
59,Abu Samrah,SY,37.18,35.3,91,6.17,0,61.34
60,Port Lincoln,AU,135.87,-34.73,82,7.94,100,58.86
61,Vao,NC,167.48,-22.67,80,15.57,100,71.64
62,Saint George,US,-113.58,37.1,12,12.75,1,82.99
63,Arlit,NE,7.39,18.74,12,8.01,0,89.28
64,Dongobesh,TZ,35.38,-4.07,90,9.89,64,57.07
65,Tasiilaq,GL,-37.64,65.61,87,8.05,100,42.8
66,Tuatapere,NZ,167.68,-46.13,55,11.99,100,59.0
67,Tiksi,RU,128.87,71.69,98,3.65,100,23.7
68,Qaanaaq,GL,-69.36,77.48,83,6.26,54,24.93
69,Springbok,ZA,17.89,-29.66,28,4.68,0,63.82
70,Puerto Peñasco,MX,-113.53,31.32,76,1.99,26,84.99
71,Whitehorse,CA,-135.05,60.72,64,17.22,40,39.2
72,Narasannapeta,IN,84.05,18.42,90,4.68,93,77.16
73,Thunder Bay,CA,-89.32,48.4,55,8.05,75,36.0
74,Fortuna,US,-124.16,40.6,59,12.75,20,66.0
75,Pisco,PE,-76.22,-13.7,88,12.75,88,63.0
76,Pizarro,CO,-77.37,4.95,85,6.44,38,78.22
77,Busselton,AU,115.33,-33.65,45,8.63,45,64.0
78,Havøysund,NO,24.66,71.0,93,18.34,75,35.6
79,Makakilo City,US,-158.09,21.35,66,8.05,1,84.2
80,Ancud,CL,-73.82,-41.87,76,2.24,46,50.0
81,Hong Kong,HK,114.16,22.29,72,3.0,74,80.01
82,Qaqortoq,GL,-46.03,60.72,56,3.36,75,41.0
83,Thompson,CA,-97.86,55.74,63,13.87,90,28.4
84,Saskylakh,RU,114.08,71.92,96,12.35,100,18.66
85,Port Augusta,AU,137.77,-32.5,88,4.7,90,79.0
86,Yangi Marg`ilon,UZ,71.72,40.43,66,2.24,0,48.2
87,Aswān,EG,32.91,24.09,27,8.68,0,80.83
88,Bandarbeyla,SO,50.81,9.49,81,18.23,0,79.0
89,Dingle,PH,122.67,11.0,87,5.1,100,78.12
90,Cape Town,ZA,18.42,-33.93,55,12.75,100,61.0
91,Bluff,NZ,168.33,-46.6,55,11.99,100,59.0
92,Sompeta,IN,84.6,18.93,88,5.26,10,79.27
93,Takoradze,GH,-1.76,4.88,90,8.05,49,76.24
94,Aiquile,BO,-65.18,-18.2,76,4.59,100,60.94
95,Port Alfred,ZA,26.89,-33.59,82,7.25,51,61.92
96,Atuona,PF,-139.03,-9.8,75,19.64,3,78.85
97,Santa Isabel,BR,-46.22,-23.32,93,5.82,90,66.2
98,Westport,US,-73.36,41.14,77,12.75,40,66.2
99,Qasigiannguit,GL,-51.19,68.82,64,2.24,100,35.6
100,Riyadh,SA,46.72,24.69,20,5.82,0,66.2
101,Sitka,US,-135.33,57.05,57,8.05,90,50.0
102,Pyaozerskiy,RU,31.17,65.83,91,11.07,100,37.36
103,Khatanga,RU,102.5,71.97,94,8.12,55,3.81
104,Dikson,RU,80.55,73.51,95,18.16,80,31.35
105,Tilichiki,RU,166.1,60.47,83,15.19,100,36.48
106,Bambous Virieux,MU,57.76,-20.34,88,6.08,40,72.0
107,New Norfolk,AU,147.06,-42.78,40,1.01,83,54.0
108,Byron Bay,AU,153.62,-28.65,50,8.05,0,84.0
109,Tafresh,IR,50.01,34.69,46,3.44,0,43.59
110,Cherskiy,RU,161.3,68.75,85,3.76,35,35.15
111,Labuhan,ID,112.21,-6.88,67,11.01,25,83.71
112,Syracuse,IT,15.28,37.09,93,6.93,5,62.6
113,Arraial do Cabo,BR,-42.03,-22.97,89,11.97,81,71.33
114,Benjamín Hill,MX,-111.1,30.17,16,1.99,52,91.0
115,Slave Lake,CA,-114.77,55.28,60,17.22,20,39.2
116,Urla,TR,26.76,38.32,93,4.61,0,66.2
117,Ilulissat,GL,-51.1,69.22,64,2.24,100,35.6
118,Tautira,PF,-149.15,-17.73,58,13.87,75,82.4
119,Avera,US,-82.53,33.19,77,4.54,1,71.6
120,Moose Factory,CA,-80.61,51.26,93,12.75,90,37.4
121,Verkhnevilyuysk,RU,120.32,63.45,99,5.61,100,31.53
122,Shambu,ET,37.1,9.57,98,1.12,37,49.73
123,Safranbolu,TR,32.69,41.25,75,1.79,0,56.23
124,Isangel,VU,169.27,-19.55,78,13.15,89,76.6
125,Castro,BR,-50.01,-24.79,95,9.1,100,60.49
126,Kabanjahe,ID,98.49,3.1,100,4.65,20,78.8
127,Talnakh,RU,88.4,69.49,92,17.9,90,21.2
128,Srednekolymsk,RU,153.68,67.45,99,8.25,100,31.8
129,Morro Bay,US,-120.85,35.37,28,12.75,1,84.2
130,Saldanha,ZA,17.94,-33.01,82,3.36,93,55.4
131,Sombrerete,MX,-103.65,23.63,42,10.36,0,60.58
132,Touros,BR,-35.46,-5.2,83,4.7,0,77.0
133,Djibo,BF,-1.63,14.1,34,8.9,47,89.31
134,Lacaron,PH,125.58,6.45,74,5.55,20,82.4
135,Chernyshevskiy,RU,112.47,63.01,87,13.2,0,19.17
136,Naze,JP,129.48,28.37,69,8.05,20,80.6
137,Safaga,EG,33.94,26.73,46,17.76,0,81.41
138,Faanui,PF,-151.75,-16.48,76,8.34,0,79.83
139,Klyuchi,RU,79.17,52.27,87,4.85,4,43.03
140,Mahébourg,MU,57.7,-20.41,88,5.91,40,71.6
141,Nelson Bay,AU,152.15,-32.72,72,20.8,75,71.01
142,Faya,SA,42.45,18.39,15,5.55,0,57.2
143,Shiraoi,JP,141.35,42.55,76,5.82,20,54.0
144,Sokolovo,RU,84.79,52.53,67,8.93,100,45.61
145,Kostomuksha,RU,30.58,64.57,95,7.49,98,34.18
146,Arrondissement de Pontarlier,FR,6.25,46.83,92,1.01,100,48.0
147,General Pico,AR,-63.76,-35.66,65,10.02,25,66.54
148,Severo-Kuril'sk,RU,156.12,50.68,63,24.52,82,43.48
149,Muros,ES,-9.06,42.78,87,1.99,12,48.99
150,Loma Bonita,PA,-80.17,8.38,81,2.73,4,75.0
151,Codrington,AU,141.97,-38.27,68,12.8,0,56.16
152,North Platte,US,-100.77,41.12,29,10.29,40,48.2
153,Vardø,NO,31.11,70.37,84,20.87,100,37.24
154,La Ronge,CA,-105.28,55.1,58,21.92,90,24.8
155,Nizhniy Bestyakh,RU,129.91,61.96,92,4.47,90,19.4
156,Pangnirtung,CA,-65.71,66.15,77,10.33,100,37.33
157,Wuwei,CN,102.64,37.93,50,4.76,0,46.0
158,Bathsheba,BB,-59.52,13.22,78,17.22,40,82.4
159,Topolobampo,MX,-109.05,25.6,49,21.92,5,91.4
160,Buraidah,SA,43.98,26.33,39,3.36,0,66.2
161,Norman Wells,CA,-126.83,65.28,67,6.93,20,21.2
162,Port Shepstone,ZA,30.45,-30.74,65,25.12,0,67.23
163,Newport,GB,-3.0,51.59,93,9.73,0,45.0
164,Punta Arenas,CL,-70.92,-53.15,75,23.04,7,44.6
165,Sept-Îles,CA,-66.38,50.2,87,9.17,75,45.0
166,Caernarfon,GB,-4.27,53.14,71,3.36,45,50.0
167,Illapel,CL,-71.17,-31.63,73,0.74,0,59.56
168,Lorengau,PG,147.27,-2.02,75,5.03,100,83.17
169,Llangefni,GB,-4.31,53.26,81,10.29,6,50.0
170,Ca Mau,VN,105.15,9.18,86,10.16,93,80.6
171,Belaya Gora,RU,146.42,68.53,98,13.62,100,24.82
172,Constitución,CL,-72.42,-35.33,78,6.93,0,57.72
173,Xichang,CN,102.26,27.9,76,4.65,100,58.28
174,Kiboga,UG,31.77,0.92,98,1.86,3,61.21
175,Bobo-Dioulasso,BF,-4.3,11.18,88,2.24,20,80.6
176,Dezhou,CN,116.29,37.45,51,11.25,1,61.03
177,Vestmannaeyjar,IS,-20.27,63.44,78,7.56,100,47.79
178,Inírida,CO,-67.92,3.87,79,1.32,86,77.58
179,Souillac,MU,57.52,-20.52,88,5.66,40,71.6
180,Geraldton,AU,114.6,-28.77,63,10.29,50,66.2
181,Mangalore,IN,74.88,12.87,94,3.36,40,73.4
182,Ilhabela,BR,-45.36,-23.78,82,5.21,77,68.43
183,Mīāndoāb,IR,46.1,36.97,37,6.93,29,51.8
184,Nouadhibou,MR,-17.03,20.93,54,12.75,0,80.6
185,Narsaq,GL,-46.05,60.92,56,3.36,75,41.0
186,Mount Gambier,AU,140.77,-37.83,62,17.22,40,55.4
187,Hashtrūd,IR,47.05,37.48,54,1.92,9,48.88
188,Carutapera,BR,-46.02,-1.2,77,8.75,48,79.88
189,Pīshvā,IR,51.73,35.31,45,6.93,26,57.2
190,Ossora,RU,163.07,59.24,63,11.52,100,42.1
191,Birin,NP,88.07,26.89,88,1.12,40,73.4
192,Barra Patuca,HN,-84.28,15.8,83,6.93,99,80.49
193,Collie,AU,116.15,-33.37,45,6.26,85,64.0
194,Haines Junction,CA,-137.51,60.75,84,1.99,97,35.47
195,Palmer,US,-72.33,42.16,63,8.05,20,63.0
196,Benguela,AO,13.41,-12.58,79,5.93,36,74.05
197,Oranjemund,NA,16.43,-28.55,74,4.9,0,60.1
198,Oddur,SO,43.89,4.12,76,10.36,0,71.69
199,Tuensang,IN,94.83,26.28,77,1.74,0,72.12
200,Liverpool,GB,-2.98,53.41,81,6.93,77,48.2
201,Mataura,NZ,168.86,-46.19,55,11.99,100,59.0
202,Ibiapina,BR,-40.89,-3.92,85,5.1,0,68.65
203,Thinadhoo,MV,72.93,0.53,74,21.27,23,83.52
204,Gondā City,IN,81.93,27.13,69,1.36,0,76.28
205,Rūdbār,AF,62.6,30.15,46,5.48,0,49.5
206,Ferrol,ES,-8.24,43.48,93,2.24,38,44.6
207,Lubao,PH,120.55,14.92,79,4.7,75,84.2
208,Havelock,US,-76.9,34.88,88,6.29,41,75.0
209,Mitchell,US,-98.03,43.71,34,11.41,75,48.2
210,Cavalcante,BR,-47.46,-13.8,34,0.72,7,77.76
211,Solnechnyy,RU,136.63,50.72,66,10.51,36,36.39
212,Tarauacá,BR,-70.77,-8.16,94,2.44,17,72.86
213,Baharly,TM,57.43,38.44,36,3.74,0,55.0
214,Kiunga,PG,141.29,-6.12,74,4.29,100,82.6
215,Olafsvik,IS,-23.71,64.89,73,5.19,91,47.66
216,Necochea,AR,-58.74,-38.55,94,5.99,0,54.0
217,Cap Malheureux,MU,57.61,-19.98,79,1.99,1,72.0
218,Sorong,ID,131.25,-0.88,71,3.69,99,83.26
219,Awjilah,LY,21.29,29.11,29,12.44,0,76.98
220,Upernavik,GL,-56.15,72.79,86,4.76,100,29.28
221,Kavieng,PG,150.8,-2.57,71,10.58,90,84.22
222,Lagoa,PT,-27.98,39.05,86,14.61,77,68.34
223,Bay Roberts,CA,-53.26,47.6,1,3.78,7,57.99
224,Ust-Nera,RU,143.2,64.57,88,2.93,100,21.31
225,Pakxan,LA,103.66,18.38,91,4.74,97,76.21
226,São João da Barra,BR,-41.05,-21.64,84,9.91,70,72.37
227,Makkah al Mukarramah,SA,39.83,21.43,22,3.74,0,77.4
228,Caravelas,BR,-39.25,-17.71,88,5.01,100,74.46
229,Margate,GB,1.39,51.38,76,4.0,52,50.0
230,Flinders,AU,150.86,-34.58,80,8.99,100,63.0
231,Podosinovets,RU,47.07,60.28,94,11.61,100,34.45
232,Leer,SS,30.14,8.3,91,2.71,7,72.25
233,Okhotsk,RU,143.3,59.38,84,7.11,12,29.12
234,Zhangaözen,KZ,52.8,43.3,40,10.27,0,51.76
235,Mayumba,GA,10.66,-3.43,81,4.05,100,75.02
236,Amazar,RU,120.88,53.86,88,6.22,80,30.97
237,Great Bend,US,-98.76,38.36,43,5.82,1,52.0
238,Esperance,AU,121.9,-33.87,93,11.41,75,57.2
239,San Cristobal,VE,-72.22,7.77,90,2.35,33,66.51
240,Altay,CN,88.12,47.87,66,4.85,98,35.87
241,Chokurdakh,RU,147.92,70.63,99,10.76,100,30.51
242,Padang,ID,100.35,-0.95,67,2.04,84,81.7
243,Pontianak,ID,109.33,-0.03,74,2.42,24,81.86
244,Bad Salzungen,DE,10.23,50.82,90,7.18,100,46.99
245,Lohr a. Main,DE,9.58,49.99,95,4.29,100,48.0
246,Doka,SD,35.77,13.52,68,7.49,5,73.11
247,Butaritari,KI,172.79,3.07,74,11.16,100,82.45
248,Albany,US,-73.97,42.6,79,1.99,73,64.99
249,Acapulco de Juárez,MX,-99.89,16.86,83,4.7,90,84.2
250,Antofagasta,CL,-70.4,-23.65,82,10.29,90,59.0
251,Cochrane,CA,-114.47,51.18,59,9.17,20,37.4
252,Termoli,IT,14.99,41.99,58,14.41,0,55.99
253,Nanortalik,GL,-45.24,60.14,71,4.41,100,39.79
254,Salinas,US,-121.66,36.68,23,10.29,1,89.6
255,Pitimbu,BR,-34.81,-7.47,94,4.7,20,73.4
256,Rodrigues Alves,BR,-72.65,-7.74,73,0.74,5,76.05
257,Saint Paul Harbor,US,-152.41,57.79,67,13.87,1,50.0
258,Lafiagi,NG,5.42,8.87,90,4.05,34,74.98
